[12:03:23 DBG] Starting web host
[12:03:26 DBG] Getting mongocollection codetest.Models.User
[12:03:26 DBG] Creating mongo index
[12:03:38 DBG] Getting mongocollection codetest.Models.User
[12:03:38 DBG] Creating mongo index
[12:03:39 DBG] Getting mongocollection codetest.Models.User
[12:03:39 DBG] Creating mongo index
[12:03:46 DBG] Getting mongocollection codetest.Models.User
[12:03:46 DBG] Creating mongo index
[12:03:46 DBG] Getting mongocollection codetest.Models.User
[12:03:46 DBG] Creating mongo index
[12:03:49 DBG] Getting mongocollection codetest.Models.User
[12:03:49 DBG] Creating mongo index
[12:03:49 DBG] Getting mongocollection codetest.Models.User
[12:03:49 DBG] Creating mongo index
[12:03:50 DBG] Getting mongocollection codetest.Models.User
[12:03:50 DBG] Creating mongo index
[12:03:50 DBG] Getting mongocollection codetest.Models.User
[12:03:50 DBG] Creating mongo index
[16:02:49 DBG] Getting mongocollection codetest.Models.User
[16:02:49 DBG] Creating mongo index
[16:02:50 DBG] Getting mongocollection codetest.Models.User
[16:02:50 DBG] Creating mongo index
[16:02:50 DBG] Getting mongocollection codetest.Models.User
[16:02:50 DBG] Creating mongo index
[16:02:51 DBG] Getting mongocollection codetest.Models.User
[16:02:51 DBG] Creating mongo index
