[21:11:01 DBG] Starting web host
[21:11:04 DBG] Getting MongoCollection codetest.Models.User
[21:11:04 DBG] Creating mongo index
[21:11:14 DBG] Getting MongoCollection codetest.Models.User
[21:11:14 DBG] Creating mongo index
[21:11:23 DBG] Getting MongoCollection codetest.Models.User
[21:11:23 DBG] Creating mongo index
[21:11:26 DBG] Getting MongoCollection codetest.Models.User
[21:11:26 DBG] Creating mongo index
[21:12:18 DBG] Getting MongoCollection codetest.Models.User
[21:12:18 DBG] Creating mongo index
[21:12:31 DBG] Getting MongoCollection codetest.Models.User
[21:12:31 DBG] Creating mongo index
[21:12:33 DBG] Getting MongoCollection codetest.Models.User
[21:12:33 DBG] Creating mongo index
[21:13:44 DBG] Getting MongoCollection codetest.Models.User
[21:13:44 DBG] Creating mongo index
[21:14:09 DBG] Getting MongoCollection codetest.Models.User
[21:14:09 DBG] Creating mongo index
[21:15:42 DBG] Getting MongoCollection codetest.Models.User
[21:15:42 DBG] Creating mongo index
[21:15:51 DBG] Getting MongoCollection codetest.Models.User
[21:15:51 DBG] Creating mongo index
[21:16:24 DBG] Getting MongoCollection codetest.Models.User
[21:16:24 DBG] Creating mongo index
[21:17:21 DBG] Getting MongoCollection codetest.Models.User
[21:17:21 DBG] Creating mongo index
[21:18:07 DBG] Getting MongoCollection codetest.Models.User
[21:18:07 DBG] Creating mongo index
[21:18:57 DBG] Getting MongoCollection codetest.Models.User
[21:18:57 DBG] Creating mongo index
[21:19:04 DBG] Getting MongoCollection codetest.Models.User
[21:19:04 DBG] Creating mongo index
[21:19:20 DBG] Getting MongoCollection codetest.Models.User
[21:19:20 DBG] Creating mongo index
[21:19:37 DBG] Getting MongoCollection codetest.Models.User
[21:19:37 DBG] Creating mongo index
[21:19:42 DBG] Getting MongoCollection codetest.Models.User
[21:19:42 DBG] Creating mongo index
[21:19:44 DBG] Getting MongoCollection codetest.Models.User
[21:19:44 DBG] Creating mongo index
[21:19:50 DBG] Getting MongoCollection codetest.Models.User
[21:19:50 DBG] Creating mongo index
[21:20:42 DBG] Getting MongoCollection codetest.Models.User
[21:20:42 DBG] Creating mongo index
[21:20:55 DBG] Getting MongoCollection codetest.Models.User
[21:20:55 DBG] Getting MongoCollection codetest.Models.User
[21:20:55 DBG] Creating mongo index
[21:20:55 DBG] Creating mongo index
[21:20:56 DBG] Getting MongoCollection codetest.Models.User
[21:20:56 DBG] Creating mongo index
[21:20:56 DBG] Getting MongoCollection codetest.Models.User
[21:20:56 DBG] Creating mongo index
[21:20:59 DBG] Getting MongoCollection codetest.Models.User
[21:20:59 DBG] Getting MongoCollection codetest.Models.User
[21:20:59 DBG] Creating mongo index
[21:20:59 DBG] Creating mongo index
[21:21:01 DBG] Getting MongoCollection codetest.Models.User
[21:21:01 DBG] Creating mongo index
[21:21:01 DBG] Getting MongoCollection codetest.Models.User
[21:21:01 DBG] Creating mongo index
[21:21:02 DBG] Getting MongoCollection codetest.Models.User
[21:21:02 DBG] Creating mongo index
